tok	miss	routed	M	coldGate	totGate	margin
343	81	320	1	-289.87793	-1195.1973	2.1875
344	100	320	1	-358.3828	-1199.2246	4.546875
345	86	320	1	-314.60645	-1228.4141	4.09375
346	120	320	1	-420.28027	-1188.4424	0.78125
347	104	320	1	-402.11133	-1261.1172	3.640625
348	132	320	1	-492.84863	-1251.207	0.75
349	95	320	1	-357.97266	-1218.5889	0.71875
350	115	320	1	-410.8418	-1226.2725	2.109375
351	88	320	1	-322.54492	-1221.6084	1.328125
352	119	320	1	-398.9541	-1166.6133	0.078125
353	20	320	1	-75.78125	-1199.3379	7.515625
354	22	320	1	-86.53711	-1242.0205	6.4375
355	57	320	1	-224.97949	-1247.456	0.015625
356	92	320	1	-337.81152	-1220.1084	3.515625
357	86	320	1	-329.63867	-1256.957	6.1015625
358	103	320	1	-398.42383	-1267.7754	0.484375
359	109	320	1	-405.26562	-1244.1055	0.84375
360	100	320	1	-371.396	-1197.7126	3.234375
361	78	320	1	-293.12793	-1254.7734	1.375
362	63	320	1	-234.45898	-1284.0391	0.59375
363	89	320	1	-368.8711	-1316.7812	1.5625
364	83	320	1	-324.32227	-1285.0469	5.0
365	88	320	1	-360.69727	-1330.1172	1.609375
366	121	320	1	-483.3672	-1325.6094	2.8125
367	79	320	1	-305.7744	-1254.9882	6.6875
368	74	320	1	-289.70312	-1302.1455	2.15625
369	27	320	1	-106.04004	-1234.1748	8.4296875
370	19	320	1	-75.91992	-1260.6172	3.015625
371	53	320	1	-212.87695	-1264.5059	0.453125
372	60	320	1	-213.31055	-1227.7402	4.28125
373	65	320	1	-241.2959	-1233.6436	5.53125
374	58	320	1	-214.90625	-1218.9453	2.34375
375	56	320	1	-212.9834	-1252.1201	1.875
376	92	320	1	-342.14648	-1215.7354	0.828125
377	94	320	1	-357.20947	-1266.9653	4.828125
378	90	320	1	-337.11133	-1233.6191	0.515625
379	44	320	1	-167.44727	-1286.9648	4.140625
380	43	320	1	-156.15918	-1206.6836	1.109375
381	94	320	1	-348.3828	-1198.4277	0.0390625
382	84	320	1	-309.29492	-1206.5859	0.28125
383	86	320	1	-323.01367	-1250.4766	4.140625
384	74	320	1	-270.1123	-1251.5459	0.21875
385	35	320	1	-138.26367	-1295.6094	0.125
386	29	320	1	-116.58594	-1221.1309	8.234375
387	19	320	1	-76.5	-1250.6338	4.828125
388	47	320	1	-182.72852	-1217.5254	7.5078125
389	1085	5440	17	0.0	0.0	8.7734375
391	33	320	1	-118.58301	-1254.2256	7.375
392	45	320	1	-175.01367	-1250.5752	0.375
393	16	320	1	-56.121094	-1246.2354	1.125
394	45	320	1	-177.86914	-1300.0977	4.171875
395	44	320	1	-175.78516	-1270.3828	9.4921875
396	20	320	1	-77.71094	-1256.4072	8.4296875
397	43	320	1	-177.08594	-1306.8369	8.890625
398	1073	5440	17	0.0	0.0	3.375
399	49	320	1	-175.07031	-1261.0898	2.859375
400	58	320	1	-220.33398	-1231.8438	4.359375
401	58	320	1	-218.89648	-1259.2222	2.953125
402	58	320	1	-210.14258	-1217.9404	3.5
403	47	320	1	-189.02539	-1288.2676	0.046875
404	81	320	1	-317.01953	-1314.2275	6.15625
405	56	320	1	-224.57227	-1283.4131	2.515625
406	49	320	1	-190.8247	-1286.7251	1.359375
407	56	320	1	-213.71777	-1287.2979	4.265625
408	30	320	1	-122.81055	-1265.2578	11.609375
409	24	320	1	-98.24609	-1303.5391	3.53125
410	29	320	1	-109.58594	-1259.5176	3.0
