tok	miss	routed	M	coldGate	totGate	margin	coldW	entropy	top8
1033	39	320	1	-155.57031	-1321.7139	0.015625	5.1020575	0.7094137	2796:21.875,1082:21.859375,15:14.40625,1411:14.03125,64:13.515625,220:12.9140625,277:12.515625,73:12.328125
1034	47	320	1	-199.89453	-1350.332	7.53125	5.5214305	0.013537482	58:22.71875,3681:15.1875,7368:13.9453125,15:13.890625,498:12.90625,73:12.7578125,957:12.421875,198:12.3515625
1035	52	320	1	-207.89648	-1318.4746	7.03125	6.4843807	0.017929846	15:24.921875,19:17.890625,16:17.0625,20:16.984375,17:15.8203125,18:15.4453125,24:15.2421875,198:14.03125
1036	51	320	1	-201.39648	-1285.3604	7.1015625	6.0321493	0.04766953	60:22.875,5491:15.7734375,1411:15.6640625,4678:15.609375,1089:15.375,198:14.734375,4891:14.703125,2387:14.59375
1037	62	320	1	-247.34961	-1303.0498	4.375	7.8232574	0.14353059	1411:23.734375,318:19.359375,198:18.59375,574:17.609375,283:17.078125,9987:15.828125,9758:14.9765625,220:14.9140625
1038	67	320	1	-263.19922	-1309.0801	3.796875	9.011974	0.30703917	498:23.328125,2796:19.53125,1788:18.75,220:18.453125,874:18.125,585:17.46875,9758:17.078125,33702:15.828125
1039	48	320	1	-186.24805	-1306.418	6.046875	5.7774577	0.053115807	20:23.28125,19:17.234375,15:16.609375,16:16.46875,17:15.9453125,18:14.8984375,198:13.96875,24:13.6796875
1040	68	320	1	-276.6914	-1315.0127	3.96875	8.383018	0.18157594	11:24.21875,60:20.25,1089:19.25,1076:17.921875,59326:17.75,27736:17.28125,198:16.703125,10316:15.46875
1041	50	320	1	-199.625	-1335.4766	1.375	6.5430098	0.58044887	220:23.265625,16:21.890625,2423:18.90625,20:15.546875,17:15.2421875,58317:15.1328125,585:14.9609375,15:14.796875
1042	914	5440	17	0.0	0.0	6.203125	0.0	0.04786342	16:25.3125,20:19.109375,17:18.625,18:18.59375,15:18.09375,19:18.09375,22:16.375,21:15.5859375
1056	38	320	1	-155.36719	-1334.7324	7.359375	4.640631	0.020685092	28:23.59375,16:16.234375,25:16.0625,10:15.0234375,12:14.28125,10512:13.734375,58:13.5859375,8236:13.5390625
1057	736	5440	17	0.0	0.0	6.265625	0.0	0.041843265	16:23.921875,15:17.65625,19:17.109375,17:16.875,18:16.15625,20:15.1640625,220:14.5703125,1082:14.5
1058	55	320	1	-219.3125	-1302.9111	8.09375	6.6608043	0.014513791	25:24.265625,11:16.171875,16:15.84375,2796:15.515625,15:14.59375,13:14.4765625,17:14.3515625,28:14.328125
1059	65	320	1	-251.1709	-1344.5791	6.015625	9.743926	0.022565993	2796:24.359375,220:18.34375,16:15.5859375,1082:14.7734375,771:14.546875,198:13.515625,492:13.421875,264:13.140625
1060	38	320	1	-162.20703	-1394.4492	7.734375	5.16439	0.011494869	58:24.421875,3681:16.6875,28:16.375,16:15.4375,957:14.0078125,73:13.8984375,498:13.8828125,5637:13.640625
1061	44	320	1	-178.67969	-1333.3945	7.0	5.1870055	0.024710322	16:24.171875,19:17.171875,15:17.140625,17:16.03125,18:15.8671875,20:15.8203125,4678:14.0234375,24:13.546875
1062	35	320	1	-142.16211	-1333.2607	6.5	4.176707	0.03909603	4678:23.125,60:16.625,28:16.59375,42703:15.09375,11393:14.6328125,49463:14.2265625,16:14.15625,15360:14.1015625
1063	42	320	1	-176.17969	-1371.2539	4.71875	5.1022973	0.11307007	16:23.09375,18:18.375,17:17.21875,20:16.46875,220:15.984375,15:15.9375,19:15.5703125,2564:14.6953125
1064	40	320	1	-160.71289	-1302.5488	7.2265625	4.8816557	0.05004714	2564:23.140625,220:15.9140625,7946:15.6796875,11:15.5390625,835:15.5,1411:15.4765625,16:15.40625,361:15.3125
1065	53	320	1	-217.8125	-1355.2461	4.640625	6.214138	0.06682376	220:23.0,19:18.359375,25212:15.4765625,1411:14.3671875,20:13.3671875,16:13.0234375,198:12.59375,24:12.1328125
1066	47	320	1	-194.26758	-1307.8477	7.5390625	5.010394	0.0146366	19:23.25,16:15.7109375,20:15.0703125,17:14.7890625,24:14.3125,15:14.125,18:14.0546875,220:13.296875
1067	43	320	1	-172.85156	-1327.334	7.015625	5.585267	0.026510952	1411:23.609375,30:16.59375,220:15.40625,13:15.3359375,11:15.328125,25:14.8125,198:14.7734375,585:14.6484375
1068	759	5440	17	0.0	0.0	8.59375	0.0	0.007975779	585:23.59375,220:15.0,492:14.546875,2796:13.6796875,72:13.578125,198:13.4375,283:12.7578125,1496:12.3515625
1071	27	320	1	-108.78906	-1309.5273	8.234375	3.3799074	0.009830348	11:24.53125,198:16.296875,13881:15.71875,1411:15.4765625,13:15.28125,16:14.7265625,25:14.578125,220:13.84375
1072	53	320	1	-210.1543	-1371.7715	7.328125	7.4499717	0.011013662	13881:24.9375,2796:17.609375,24921:16.015625,220:15.21875,1953:14.9140625,1411:13.7578125,70664:13.7109375,3269:13.1953125
1073	72	320	1	-288.42578	-1336.5781	4.578125	9.337435	0.072067164	2796:24.828125,1411:20.25,220:17.796875,498:16.15625,10620:15.375,397:15.2109375,58:14.9609375,1082:14.765625
1074	51	320	1	-214.91016	-1386.873	9.25	6.817234	0.0045139045	58:24.21875,957:14.96875,16:14.578125,11:14.3125,12623:13.6875,74807:13.328125,3681:13.296875,498:12.84375
1075	701	5440	17	0.0	0.0	6.015625	0.0	0.024515172	16:22.71875,15:16.703125,17:14.59375,18:12.9375,20:12.515625,1089:12.484375,19:12.171875,198:11.6640625
1076	31	320	1	-129.12305	-1330.4482	5.15625	3.41245	0.065082505	1089:23.875,60:18.71875,11:17.359375,4678:16.734375,16:15.1796875,8205:14.1171875,25:14.109375,906:14.0078125
1077	41	320	1	-172.42969	-1370.4209	5.875	5.0382595	0.024227137	2796:23.9375,1082:18.0625,220:14.734375,1411:14.1875,16:13.875,498:13.6171875,1287:12.4375,1784:12.3046875
